aggregate_trade_id,price,quantity_atom,first_trade_id,last_trade_id,time_utc,buyer_is_maker
176299337,1.688,78.85,254107861,254107861,2025-10-10T21:20:37.689043Z,True
176299338,1.673,152.42,254107862,254107862,2025-10-10T21:20:37.689043Z,True
176299339,1.672,207.37,254107863,254107863,2025-10-10T21:20:37.689043Z,True
176299340,1.671,118.49,254107864,254107864,2025-10-10T21:20:37.689043Z,True
176299341,1.641,121.87,254107865,254107865,2025-10-10T21:20:37.689043Z,True
176299342,1.64,50.0,254107866,254107866,2025-10-10T21:20:37.689043Z,True
176299343,1.62,16.75,254107867,254107867,2025-10-10T21:20:37.689043Z,True
176299344,1.616,39.07,254107868,254107869,2025-10-10T21:20:37.689043Z,True
176299345,1.6,218.12,254107870,254107871,2025-10-10T21:20:37.689043Z,True
176299346,1.587,5.0,254107872,254107872,2025-10-10T21:20:37.689043Z,True
176299347,1.581,3.41,254107873,254107873,2025-10-10T21:20:37.689043Z,True
176299348,1.555,6.43,254107874,254107874,2025-10-10T21:20:37.689043Z,True
176299349,1.548,57.85,254107875,254107875,2025-10-10T21:20:37.689043Z,True
176299350,1.547,179.1,254107876,254107876,2025-10-10T21:20:37.689043Z,True
176299351,1.54,8.13,254107877,254107877,2025-10-10T21:20:37.689043Z,True
176299352,1.529,3.28,254107878,254107878,2025-10-10T21:20:37.689043Z,True
176299353,1.512,3.41,254107879,254107879,2025-10-10T21:20:37.689043Z,True
176299354,1.51,66.22,254107880,254107880,2025-10-10T21:20:37.689043Z,True
176299355,1.5,1844.31,254107881,254107889,2025-10-10T21:20:37.689043Z,True
176299356,1.498,16.68,254107890,254107890,2025-10-10T21:20:37.689043Z,True
176299357,1.485,6.94,254107891,254107891,2025-10-10T21:20:37.689043Z,True
176299358,1.471,12.04,254107892,254107892,2025-10-10T21:20:37.689043Z,True
176299359,1.465,8.13,254107893,254107893,2025-10-10T21:20:37.689043Z,True
176299360,1.44,6.49,254107894,254107894,2025-10-10T21:20:37.689043Z,True
176299361,1.42,50.0,254107895,254107895,2025-10-10T21:20:37.689043Z,True
176299362,1.4,334.39,254107896,254107898,2025-10-10T21:20:37.689043Z,True
176299363,1.396,5.6,254107899,254107899,2025-10-10T21:20:37.689043Z,True
176299364,1.389,8.13,254107900,254107900,2025-10-10T21:20:37.689043Z,True
176299365,1.362,8.81,254107901,254107901,2025-10-10T21:20:37.689043Z,True
176299366,1.353,5.75,254107902,254107902,2025-10-10T21:20:37.689043Z,True
176299367,1.338,4.49,254107903,254107903,2025-10-10T21:20:37.689043Z,True
176299368,1.337,4.19,254107904,254107904,2025-10-10T21:20:37.689043Z,True
176299369,1.333,56.26,254107905,254107905,2025-10-10T21:20:37.689043Z,True
176299370,1.313,8.13,254107906,254107906,2025-10-10T21:20:37.689043Z,True
