analysis_id,resolution,sample,x,y,lag_convention,max_abs_correlation_lag_minutes,max_abs_correlation,lag_zero_correlation,paired_observations_at_best_lag,circular_shift_max_lag_p,circular_shift_count
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,positive lag means x leads y,0,0.8734669193167249,0.8734669193167249,44639,0.0001999600079984003,5000
1m_30d_plus_event_day_futures_return_to_spot_usdt_return,1m,30d_plus_event_day,futures_return,spot_usdt_return,positive lag means x leads y,0,0.727130836767086,0.727130836767086,44639,0.0001999600079984003,5000
1m_30d_plus_event_day_spot_usdt_return_to_mark_return,1m,30d_plus_event_day,spot_usdt_return,mark_return,positive lag means x leads y,0,0.7947938624765615,0.7947938624765615,44639,0.0001999600079984003,5000
1m_30d_plus_event_day_spot_trade_activity_to_spot_range_stress,1m,30d_plus_event_day,spot_trade_activity,spot_range_stress,positive lag means x leads y,0,0.05610335891875217,0.05610335891875217,44640,0.0001999600079984003,5000
1m_30d_plus_event_day_usdt_vs_usdc_low_discount_to_spot_range_stress,1m,30d_plus_event_day,usdt_vs_usdc_low_discount,spot_range_stress,positive lag means x leads y,0,0.996103590690586,0.996103590690586,44640,0.0001999600079984003,5000
1m_event_local_4h_spot_usdt_return_to_spot_usdc_return,1m,event_local_4h,spot_usdt_return,spot_usdc_return,positive lag means x leads y,0,0.8810072913486027,0.8810072913486027,240,0.004347826086956522,229
1m_event_local_4h_futures_return_to_spot_usdt_return,1m,event_local_4h,futures_return,spot_usdt_return,positive lag means x leads y,0,0.6987044869021353,0.6987044869021353,240,0.004347826086956522,229
1m_event_local_4h_spot_usdt_return_to_mark_return,1m,event_local_4h,spot_usdt_return,mark_return,positive lag means x leads y,0,0.7744237177539715,0.7744237177539715,240,0.004347826086956522,229
1m_event_local_4h_spot_trade_activity_to_spot_range_stress,1m,event_local_4h,spot_trade_activity,spot_range_stress,positive lag means x leads y,5,0.11593484380895275,0.07406322227499461,235,0.36086956521739133,229
1m_event_local_4h_usdt_vs_usdc_low_discount_to_spot_range_stress,1m,event_local_4h,usdt_vs_usdc_low_discount,spot_range_stress,positive lag means x leads y,0,0.9971584606820793,0.9971584606820793,240,0.004347826086956522,229
5m_30d_plus_event_day_confirmed_exchange_in_atom_to_spot_range_stress,5m,30d_plus_event_day,confirmed_exchange_in_atom,spot_range_stress,positive lag means x leads y,-60,0.027352189855455556,0.015228144456182499,8916,0.0619876024795041,5000
5m_30d_plus_event_day_confirmed_exchange_out_atom_to_spot_range_stress,5m,30d_plus_event_day,confirmed_exchange_out_atom,spot_range_stress,positive lag means x leads y,-60,0.0400131015133667,0.02807041665607226,8916,0.0001999600079984003,5000
5m_30d_plus_event_day_unconfirmed_behavioral_in_atom_to_spot_range_stress,5m,30d_plus_event_day,unconfirmed_behavioral_in_atom,spot_range_stress,positive lag means x leads y,-25,0.02787603669027659,0.017217801404288295,8923,0.1855628874225155,5000
5m_30d_plus_event_day_all_behavioral_candidate_in_atom_to_spot_range_stress,5m,30d_plus_event_day,all_behavioral_candidate_in_atom,spot_range_stress,positive lag means x leads y,-60,0.02970426440394896,0.018846612804728786,8916,0.2975404919016197,5000
5m_30d_plus_event_day_confirmed_exchange_net_in_atom_to_spot_return,5m,30d_plus_event_day,confirmed_exchange_net_in_atom,spot_return,positive lag means x leads y,-25,0.025167074303413223,0.015676531242324637,8923,0.42071585682863427,5000
5m_30d_plus_event_day_ibc_inbound_atom_to_spot_range_stress,5m,30d_plus_event_day,ibc_inbound_atom,spot_range_stress,positive lag means x leads y,-60,0.041533349160342924,0.02688467407060888,8916,0.0033993201359728054,5000
5m_30d_plus_event_day_ibc_outbound_atom_to_spot_range_stress,5m,30d_plus_event_day,ibc_outbound_atom,spot_range_stress,positive lag means x leads y,-20,0.04278165763960304,0.03384526091610979,8924,0.014197160567886422,5000
5m_30d_plus_event_day_ibc_net_inbound_atom_to_spot_return,5m,30d_plus_event_day,ibc_net_inbound_atom,spot_return,positive lag means x leads y,-5,0.06597456875951058,0.06337255176349203,8927,0.002999400119976005,5000
5m_event_local_4h_confirmed_exchange_in_atom_to_spot_range_stress,5m,event_local_4h,confirmed_exchange_in_atom,spot_range_stress,positive lag means x leads y,40,-0.5710132540515529,0.08827341633882696,40,0.041666666666666664,23
5m_event_local_4h_confirmed_exchange_out_atom_to_spot_range_stress,5m,event_local_4h,confirmed_exchange_out_atom,spot_range_stress,positive lag means x leads y,-40,-0.3103185610089964,0.03675022515090423,40,0.041666666666666664,23
5m_event_local_4h_unconfirmed_behavioral_in_atom_to_spot_range_stress,5m,event_local_4h,unconfirmed_behavioral_in_atom,spot_range_stress,positive lag means x leads y,45,-0.5058765246019289,-0.006575234704802903,39,0.041666666666666664,23
5m_event_local_4h_all_behavioral_candidate_in_atom_to_spot_range_stress,5m,event_local_4h,all_behavioral_candidate_in_atom,spot_range_stress,positive lag means x leads y,45,-0.521983800467452,0.0013255652131714377,39,0.041666666666666664,23
5m_event_local_4h_confirmed_exchange_net_in_atom_to_spot_return,5m,event_local_4h,confirmed_exchange_net_in_atom,spot_return,positive lag means x leads y,-40,0.24295512426409227,0.008503758647086258,40,0.041666666666666664,23
5m_event_local_4h_ibc_inbound_atom_to_spot_range_stress,5m,event_local_4h,ibc_inbound_atom,spot_range_stress,positive lag means x leads y,35,-0.38333889262117726,-0.0031527486671052585,41,0.625,23
5m_event_local_4h_ibc_outbound_atom_to_spot_range_stress,5m,event_local_4h,ibc_outbound_atom,spot_range_stress,positive lag means x leads y,35,-0.3023672561225258,0.0710325850444147,41,0.875,23
5m_event_local_4h_ibc_net_inbound_atom_to_spot_return,5m,event_local_4h,ibc_net_inbound_atom,spot_return,positive lag means x leads y,-30,0.3228757263838946,0.13072284819044733,42,0.041666666666666664,23
