analysis_id,resolution,sample,x,y,lag_intervals,lag_minutes,correlation,paired_observations
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,-5,-5,-0.032357339137776484,44634
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,-4,-4,0.08646821979671374,44635
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,-3,-3,0.229811256673457,44636
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,-2,-2,0.23562691703087582,44637
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,-1,-1,0.3022297420670039,44638
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,0,0,0.8734669193167249,44639
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,1,1,0.24938362698112,44638
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,2,2,0.3354756944845006,44637
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,3,3,0.25449168964467156,44636
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,4,4,0.14307591228457378,44635
1m_30d_plus_event_day_spot_usdt_return_to_spot_usdc_return,1m,30d_plus_event_day,spot_usdt_return,spot_usdc_return,5,5,-0.1387650287107454,44634
1m_30d_plus_event_day_futures_return_to_spot_usdt_return,1m,30d_plus_event_day,futures_return,spot_usdt_return,-5,-5,-0.05147455119520626,44634
1m_30d_plus_event_day_futures_return_to_spot_usdt_return,1m,30d_plus_event_day,futures_return,spot_usdt_return,-4,-4,0.00977775859130712,44635
1m_30d_plus_event_day_futures_return_to_spot_usdt_return,1m,30d_plus_event_day,futures_return,spot_usdt_return,-3,-3,0.17136775308670493,44636
1m_30d_plus_event_day_futures_return_to_spot_usdt_return,1m,30d_plus_event_day,futures_return,spot_usdt_return,-2,-2,0.4124095899663783,44637
1m_30d_plus_event_day_futures_return_to_spot_usdt_return,1m,30d_plus_event_day,futures_return,spot_usdt_return,-1,-1,0.35853651997363034,44638
1m_30d_plus_event_day_futures_return_to_spot_usdt_return,1m,30d_plus_event_day,futures_return,spot_usdt_return,0,0,0.727130836767086,44639
1m_30d_plus_event_day_futures_return_to_spot_usdt_return,1m,30d_plus_event_day,futures_return,spot_usdt_return,1,1,0.46746091732255557,44638
