rank_by_pre_2h_binance_inflow,address,pre_30m_binance_atom,pre_2h_binance_atom,pre_2h_share,pre_6h_binance_atom,pre_24h_binance_atom,last_pre_flash_binance_time_utc,seconds_from_last_binance_transfer_to_low,four_day_first_seen_utc,four_day_last_seen_utc,four_day_incoming_count,four_day_incoming_atom,four_day_outgoing_count,four_day_outgoing_atom,four_day_counterparty_count,binance_deposit_count,binance_deposit_atom,binance_unique_memo_cluster_count,top_direct_source,top_direct_source_public_label,top_direct_source_atom,top_direct_source_share,incoming_from_confirmed_exchange_labels_atom,confirmed_exchange_destination_labels,ibc_match_count
1,cosmos1ze3f954mtj30st8dw2qhylfvvtdv5q6x0e4k4q,681.715,22159.375000000004,0.4290544415384878,36239.609999,111302.374998,2025-10-10T21:04:17.348748197Z,980.340295,2025-10-09T00:12:44.277497669Z,2025-10-12T23:34:00.269002909Z,282,362898.8150030001,445,429055.1949809998,8,445,429055.194981,1,cosmos1l0znsvddllw9knha3yx2svnlxny676d8ns7uys,,75392.19000000002,0.2077498930366492,{},['Binance'],893
2,cosmos1qml5yxnfgdhcywp2w2lpvuj9fazzeylg2gdaeq,2000.0,9361.602494,0.18126130046395644,69529.03361,177863.047395,2025-10-10T21:20:18.16747211Z,19.521571,2025-10-09T00:00:58.151523411Z,2025-10-12T23:01:59.198924452Z,315,1405924.2361739995,449,1124647.862346,228,59,368619.397651,10,cosmos1vl8xm7x04cedgh639hc9ucvf6zc754fyfewhef,KuCoin,1085802.9169219995,0.7723054265547342,{'KuCoin': 1085802.9169219995},"['Binance', 'HitBTC', 'MEXC']",0
3,cosmos188frg3urnzayxdvsy4kr2gv6deuxnl5rsppaw6,0,3700.0,0.07164017187724855,7500.0,7500.0,2025-10-10T19:48:37.464662748Z,5520.224381,2025-10-09T15:22:50.205617967Z,2025-10-12T20:23:34.832599887Z,40,151099.22000099998,49,154900.0,8,49,154900.0,1,cosmos1l0znsvddllw9knha3yx2svnlxny676d8ns7uys,,43699.78,0.28921247905654834,{},['Binance'],88
4,cosmos1h9ymfm2fxrqgd257dlw5nku3jgqjgpl59sm5ns,2075.69,3428.21,0.06637771719764926,9738.05,11020.64,2025-10-10T21:03:17.060560978Z,1040.628483,2025-10-09T04:39:40.564208906Z,2025-10-12T23:15:03.139553046Z,22,45549.063574,32,60723.377798,24,11,19521.64,2,cosmos12wdyqye0tp3kwwzw34xp5mxm97r4hrjrk7n28k,,18182.083001,0.3991757804517977,{},"['Binance', 'KuCoin']",0
5,cosmos1t3vqgqjlk0zzcx32juhqqhpn5aar0gus63lnnp,2210.8,2210.8,0.04280597080708679,5926.3,6703.990155,2025-10-10T21:19:11.03914684Z,86.649897,2025-10-09T02:30:05.422122215Z,2025-10-12T22:41:43.959923735Z,39,112757.61455500002,74,95530.572958,8,35,32411.961851,4,cosmos1z7g5w84ynmjyg0kqpahdjqpj7yq34v3suckp0e,,112757.61455300002,0.9999999999822629,{},['Binance'],0
6,cosmos1dnssyzyhnja28zdww2ffa6fcxaxwanguf7nmq7,1284.0,1284.0,0.024861075862266796,1284.0,1284.0,2025-10-10T21:06:43.820939601Z,833.868104,2025-10-09T13:31:44.57128142Z,2025-10-12T13:33:06.173496746Z,172,158121.47745,154,158078.65400499996,16,19,13850.0,1,cosmos1gwyv83zcnckdhuz3n78rvyzj59u8x6l8dk9cfy,,27195.3286,0.17199009924884812,{},['Binance'],0
7,cosmos1t4d55agpf9xlsmgwc0c2yw6vvcrj6degtdf94c,1197.9,1197.9,0.023193989700474607,1767.8,2177.8,2025-10-10T21:16:00.585159891Z,277.103884,2025-10-09T03:07:47.372195779Z,2025-10-12T12:39:34.855830814Z,14,164496.331726,64,162337.440941,22,17,30181.418262,7,cosmos1hjyde2kfgtl78twvhs53u5j2gcsxrt649nn8j5,,127696.331725,0.7762868046060905,{},['Binance'],0
8,cosmos1qaz83m30j392287nslgg4585q6uhaluj72d4zs,1064.2,1064.2,0.020605262408585925,5803.403867,16879.018698,2025-10-10T21:17:05.014301447Z,212.674742,2025-10-09T00:10:05.394495566Z,2025-10-12T23:37:56.516609127Z,22,380000.000003,190,309324.37804499996,15,59,98603.711424,12,cosmos15ghk4pcyx7377m0s874nlg6yy2j4l2dc4zkfmw,,380000.0,0.9999999999921052,{},['Binance'],0
9,cosmos15peustvjpa44sdhh2ymx96c6ke79ztjar35twr,597.418,1001.615081,0.019393480150725468,1001.615081,2859.160032,2025-10-10T21:18:35.379954592Z,122.309089,2025-10-09T00:51:24.385182796Z,2025-10-12T23:19:49.959557778Z,123,183279.949535,175,146802.159106,144,49,33398.930316,4,cosmos1uawr28nd3wp9yldrhxsl0ktdvrt6uz2dd6e9r3,,101000.0,0.5510695537414068,{},['Binance'],0
10,cosmos16na4yg4rtt4n8j72n54uy5mvxn7f08l7t4h3xv,844.0,844.0,0.016341704071458858,1860.813561,1860.813561,2025-10-10T21:17:53.224490879Z,164.464553,2025-10-09T02:53:26.424600054Z,2025-10-12T21:43:55.930000783Z,19,126584.945592,33,82648.88493500001,13,9,5206.550348,5,cosmos13rf3upgznjvrwdgwje7ts8ja605a06hvaqlt7d,,85670.28499100001,0.6767809915337536,{},"['Binance', 'MEXC']",0
